Дата   | Время  | Задачи
       |        |
05.02  |   8ч   | Изучить раздел 9 "Интерфейсы"
       |        | Повторить структуру памяти JVM
       |        | Закрепить "Наследование" в классах
06.02  |   8ч   | Закончить 9 главу "Интерфейсы". Перейти к главе 14 "Обобщения".
       |        | Прочитать требования google по оформлению кода. 
07.02  |   8ч   | Продолжить изучение главы 14 "Обощения". Постараться закончить эту главу
       |        | И перейти к главе 17 "Пакет Java.lang". 
       |        | 
08.02  |   8ч   | Изучение 17 главы "Пакет Java.lang". 
       |        | 
09.02  |   8ч   | Первостепенная задача: Подготовка в сдаче КТ: повторение возникших вопросов после предыдущей сдачи. 
       |        | Повторение тем "Пакеты" "Обработка исключений" "Перечисления и автоупаковка"
       |        | Второстепенная задача: Начать Изучение 18й и 19й главы "Collections Framework"
10.02  |   8ч   | Сдача КТ 1.1 Java Core
       |        | Продолжать изучать 18ю и 19ю главы "Collections Framework"
       |        | 
11.02  |   8ч   | Посвятить день Работе над ошибками после Сдачи КТ
       |        | Проанализировать пройденный спринт. Составить план на новый
