Дата   |Время   |Задачи
       |        |
19.03  |   8ч   | Рефакторинг Worlde
       |        | Составление плана на текущий спринт
       |        | Узнать что такое ретроспектива
       |        | 
20.03  |   8ч   | Рефакторинг Worlde, соблюдая принципы SOLID, DRY
       |        | Повторение темы "Обработка иключений"
       |        | 
21.03  |   8ч   | Подготовка к КТ 1.1 "Введение" тема "Перечисления"
       |        | Рефакторинг Worlde, соблюдая принципы SOLID, DRY
       |        | 
24.03  |   8ч   | Завершить сдачу КТ 1.1 "Введение" тема "Перечисления"
       |        | Завершить работу над Wordle в консоли
       |        | 
       |        | 
25.03  |   8ч   | Перейти к изучению "spring"
       |        | Работа над ошибками после сдачи КТ
       |        | Проанализировать пройденный спринт
