Дата   | Время  | Задачи
       |        |
12.02  |   8ч   | Закончить изучение главы 14 "Обобщения". Закрепить тему решением практической задачки
       |        | Начать изучать главу 17 "Пакет java.lang"
       |        | Составить план на текущий спринт
       |        | 
13.02  |   8ч   | Изучение главы 17 "Пакет java.lang".
       |        | Набрать и скомпилировать все тестовые примеры. 
       |        | 
14.02  |   8ч   | Закончить изучение главы 17 "Пакет java.lang"
       |        | Перейти к главе 18 "Collections FrameWorks часть 1". 
       |        | Набрать и скомпилировать все тестовые примеры. 
       |        | 
15.02  |   8ч   | Повторение главы 9 "Интерфейсы" 
       |        | Набрать и скомпилировать тестовое задание на эту тему (не из документации) для закрепления главы
       |        | 
16.02  |   8ч   | Повторение главы 14 "Обобщения"
       |        | 
17.02  |   8ч   | Изучение главы 18 "Collections FrameWorks часть 1". 
       |        | 
18.02  |   8ч   | Закончить изучение главы 18 "Collections FrameWorks часть 1".
       |        | Проанализировать и подвести итоги спринта. 
