Дата   |Время   |Задачи
       |        |
12.03  |   8ч   | Составить план на текущий спринт
       |        | Отредактировать план на стажировку
       |        | Изучение классов потоков ввода-вывода
       |        | Практическое задание Wordle в консоли:
       |        | -создать примитивную версию wordle, считывающую слова с файла
       |        |
13.03  |   8ч   | Практическое задание Wordle в консоли:
       |        | -разбиение классов на обязанности
       |        | 
       |        | 
14.03  |   8ч   | Практическое задание Wordle в консоли:
       |        | -разбиение класссов на слои
       |        | 
       |        | 
       |        | 
17.03  |   8ч   | Практическое задание Wordle в консоли:
       |        | -рефакторинг, доработка
       |        | 
       |        | 
       |        | 
18.03  |   8ч   | Практическое задание Wordle в консоли:
       |        | -завершить работу
       |        | Анализ пройденного спринта
