Дата   | Время  | Задачи
       |        |
22.01  |   9ч   | Закончить изучение 10й главы "Обработка исключений". Перейти к главе 12 "Перечисления, автоупаковка и анотации".  
       |        |
23.01  |   9ч   | Закончить составление плана на текущий спринт. Продолжить и закончить изучение главы №12 "Перечисления, автоупаковка 
       |        | и анотации". Набрать, скомпилировать, изучить и понять все тестовые примеры главы. Продолжить составление плана на 
       |        | стажировку.
       |        |
24.01  |   9ч   | Изучить 6ю главу "Введение в классы".  Начать повторение материала по первому блоку. Заполнить пробелы в памяти, 
       |        | проконсультироваться по возникнувшим вопросам. Продолжить составление плана на стажировку. 
       |        | Изучить структуру памяти  jvm, параметры запуска jvm и компилятора, class path, source path.
       |        | 
25.01  |   9ч   | Изучение 7й главы "Подробное рассмотрение классов и методов". Повторение материала по первому блоку. 
       |        | Консультация по возникшим вопросам. Закончить и скинуть план на стажировку. Начать курс на степике по базовой Java.
       |        | Продолжить изучение структуры памяти  jvm, параметры запуска jvm и компилятора, class path, source path.  
       |        | 
26.01  |   9ч   | Если не закончил, то закончить составление плана на стажировку, скинуть его. Продолжить курс на степике. 
       |        | Повторение материала по первому блоку. Консультация по возникшим вопросам. Если не закончил, то 
       |        | закончить изучение 7й главы. 
       |        | 
27.01  |   9ч   | Изучение 8й главы "Наследование". Первая сдача первой КТ. Продолжить курс на степике. 
       |        | 
28.01  |   9ч   | Закончить 8ю главу. Перейти к главе 9 "Пакеты и интерфесы", раздел " Интерфейсы". Выполнить работу над ошибками, 
       |        | выявленными после кт. Подведение итогов спринта. 
