Дата   | Время  | Задачи
       |        |
05.03  |   8ч   | Сдача Git первая часть (теория)
       |        | Работа над ошибками после контрольной точки
       |        | Подготовка к практической части сдачи Git`a
       |        | Рефакторинг задачки про билеты
       |        | 
       |        |
06.03  |   8ч   | Сдача Git первая часть (практика) 
       |        | Работа над ошибками после контрольной точки
       |        | Завершить рефакторинг счастливых билетов и выложить на GitLub
       |        | Завершить план на спринт
07.03  |   8ч   | Практическое задание Wordle в консоли
       |        | 
       |        | 
08.03- |   4ч-  | Подготовка к КТ 1.1 темы "обработка исключений" и "перечисления"
-09.03 |  -16ч  | 
       |        | 
       |        | 
10.03  |   8ч   | Сдача Контрольной точки 1.1
       |        | Практическое задание Wordle в консоли :
       |        | -Добиться рабочей первой рабочей версии
       |        | -Разбиение на слои
       |        | 
11.03  |   8ч   | Практическое задание Wordle в консоли :
       |        | -Продумывание бизнес-логики
       |        | Анализ пройденного спринта
